State|Location|Address|City|Facility|Hours
Colorado|American Family|3800 Irving Street|Denver|Drive-thru|M-F 8-6; Sa
Colorado|American Family|1295 Colorado Blvd|Denver|Drive-thru|M-F 8-6; Sa
Colorado|Advanced Urgent Care|"3890 Quebec St., Ste A & B"|Denver|Drive-thru|8am - 8pm
Colorado|American Family|"850 S. Monaco Pkwy, Suite 10"|Denver|Drive-thru|M-F 8-6; Sa
Colorado|American Family|760 S. Colorado Blvd|Denver|Drive-thru|M-F 8-6; Sa
Colorado|University of Colorado Auraria Campus 5th Street Parking Garage|1351 5th Street|Denver|Drive-thru|10:00am - 4:00pm
Colorado|National Jewish Health|1400 Jackson Street|Denver|Drive-thru|
Colorado|Dispatch Health|House calls|Denver|Clinic|7AM - 10PM every day
Colorado|MedNow Clinic|895 S. Logan Street|Denver|Clinic|
Colorado|Rocky Mountain Internal Medicine|1525 Raleigh St #220|Denver|Clinic|
Colorado|Rocky Mountain Internal Medicine|4896 Chambers Rd|Denver|Clinic|
Colorado|Auraria Higher Education Center|1068 9th Street Park|Denver|Drive-thru|
Colorado|Denver Health|777 Bannock Street|Denver|Hospital|
Colorado|Family Health Clinic|"3525 W. Oxford Avenue, Unit G1"|Denver|Clinic|
Colorado|Colorado Alliance for Health Equity and Practice|"5250 Leetsdale Drive, Suite 110"|Denver|Clinic|
Colorado|Cedar Diagnostics|450 S Camino Del Rio #105|Durango|Clinic|
Colorado|Mercy Regional Medical Center|1010 Three Springs Blvd|Durango|Drive-thru|
Colorado|La Plata Integrated Healthcare in Durango|1970 E 3rd Ave|Durango|Drive-thru|
Colorado|Vail Health|0377 Sylvan Lake Rd. Suite 210|Eagle|Clinic|
Colorado|OnPoint Urgent Care|"10120 E Dry Creek Rd, Suite 101"|Englewood|Clinic|
Colorado|Rocky Mountain Urgent Care|"730 W Hampden Ave, Suite 200"|Englewood|Drive-thru|
Colorado|Youth Health Clinic|4107B S. Federal Blvd.|Englewood|Clinic|
Colorado|BCH Urgent Care in Erie|"101 Erie Parkway, Suite 101"|Erie|Drive-thru|
Colorado|Centralized Screening and Testing Center|1650 Cochrane Cir|Fort Carson|Drive-thru|
Colorado|Salud Clinic|1635 Blue Spruce Drive|Fort Collins|Clinic|
Colorado|Rocky Mountain Family Physicians|1124 East Elizabeth Bldg C|Fort Collins|Clinic|
Colorado|Colorado State University Parking lot #740|2350 Research Blvd|Fort Collins|Drive-thru|F 9am - 12pm
Colorado|Salud Clinic|729 E. Railroad Avenue|Fort Morgan|Clinic|
Colorado|wikCare MD|6908 Mesa Ridge Pkwy|Fountain|Clinic|"Mon-Fri: 8:00 – 8:00, Sat-Sun: 8:00 – 6:00"
Colorado|Park County Public Health Agency|825 Clark St|Fraiplay|Drive-thru|
Colorado|MedNow Clinic|"842 N Summit Blvd. , Suite #15"|Frisco|Clinic|
Colorado|Mesa County|215 N. Plum St.|Fruita|Clinic|
Colorado|Medexpress|4500 Leetsdale Dr.|Glendale|Clinic|
Colorado|Glenwood Medical Associates|1830 Blake Ave|Glenwood Springs|Drive-thru|
Colorado|Glenwood Springs Integrated Health Center|"1905 Blake Avenue, Suite 101"|Glenwood Springs|Drive-thru|
Colorado|Valley View|1906 Blake Avenue|Glenwood Springs|Clinic|
Colorado|Denver VA|1020 Johnson Road|Golden|Clinic|
Colorado|Middle Park Health|1000 Granby Park Drive South|Granby|Clinic|
Colorado|Mesa County|510 29 1/2 Road|Grand Junction|Clinic|
Colorado|NextCare Urgent Care|1011 39th Ave|Greeley|Drive-thru|
Colorado|Aims Community College|16th Street entrance off of 47th Avenue|Greeley|Drive-thru|M-F 9-5; Sa 10-2
Colorado|Greeley|2098 14th Avenue|Greeley|Drive-thru|10:00 AM - 4:30 PM
Colorado|OnPoint Urgent Care|"8200 E. Belleview Avenue, Suite 202, Central Tower"|Greenwood Village|Clinic|Monday - Friday 7 am - 6 pm
Colorado|Gunnison Valley Health|711 N. Taylor Street|Gunnison|Hospital|
Colorado|OnPoint Urgent Care|9205 S Broadway|Highlands Ranch|Clinic|
Colorado|Delta County Health Department|110 E. Hotchkiss Avenue|Hotchkiss|Drive-thru|
Colorado|St. Paul's Parish Parking Lot|1632 Colorado Blvd|Idaho Springs|Drive-thru|
Colorado|La Jara Clinic|509 Main Street|La Jara|Clinic|
Colorado|La Junta Clinic|1012 Belmont Ave|La Junta|Clinic|
Colorado|Arkansas Valley Regional Medical Center|1100 Carson Ave|La Junta|Drive-thru|
Colorado|Advanced Urgent Care|297 US-287 Ste 110|Lafayette|Drive-thru|8am - 8pm
Colorado|Clinica Family Health|1735 S. Public Road|Lafayette|Drive-thru|
Colorado|Green Mountain|"200 Union Blvd, Suite 311"|Lakewood|Clinic|
Colorado|Stride Community Health Center|500 Kipling S|Lakewood|Clinic|
Colorado|Rocky Mountain Urgent Care|"2595 South Lewis Way, Suite A"|Lakewood|Drive-thru|
Colorado|MedNow Clinic|1555 S. Wadsworth Blvd.|Lakewood|Clinic|
Colorado|Las Animas Clinic|245 Vine Ave|Las Animas|Clinic|
Colorado|AfterOurs Urgent Care|"101 W Mineral Ave, Unit 105"|Littleton|Clinic|
Colorado|CareNow Urgent Care - Quincy & Wadsworth|7600 W Quincy Ave|Littleton|Clinic|
Colorado|Columbine Family Practice|7335 South Pierce Street|Littleton|Clinic|
Colorado|OnPoint Urgent Care|"9695 S. Yosemite Street, Suite 150"|Lone Tree|Clinic|
Colorado|Burrows Internal Medicine|9218 Kimmer Dr. Ste 207|Lone Tree|Clinic|
Colorado|Salud Clinic|220 E. Rogers Rd.|Longmont|Drive-thru|"Monday, Wednesday & Friday from 8-10:30am"
Colorado|NextCare Urgent Care|2144 Main St #8|Longmont|Drive-thru|
Colorado|Centennial Park|977 W 1st Street|Loveland|Drive-thru|T-W 9am - 12pm
Colorado|River Valley Family Health Centers|1010 S. Rio Grande|Montrose|Clinic|
Colorado|Glenwood Medical Associates|"820 Castle Valley Blvd, #210"|New Castle|Drive-thru|
Colorado|UMC|1350 S. Aspen Street|Norwood|Clinic|
Colorado|River Valley Family Health Centers|308 Main Street|Olathe|Clinic|
Colorado|Valley-Wide Ordway|319 Main Street|Ordway|Clinic|
Colorado|Pagosa Spring Medical Center|95 S. Pagosa Blvd|Pagosa Springs|Clinic|
Colorado|Archuleta Integrated Health in Pagosa Springs|52 Village Dr|Pagosa Springs|Clinic|
Colorado|CareNow Urgent Care - Parker|11339 S Pikes Peak Dr|Parker|Clinic|
Colorado|Miramont Family Medicine|9251 Twenty Mile Road|Parker|Drive-thru|
Colorado|wikCare MD|4130 N Fwy Rd|Pueblo|Clinic|"Mon-Fri: 8:00 – 8:00, Sat-Sun: 8:00 – 6:00"
Colorado|Colorado State Fairgrounds|1001 Beulah Ave|Pueblo|Drive-thru|TWTh 9-3
Colorado|Rangely District Hospital|225 Eagle Crest Drive|Rangely|Drive-thru|"Drive-thru noon to 1pm M-F, must sched appt"
Colorado|Rifle Integrated Health Center|"195 West 14th Street, Building C"|Rifle|Drive-thru|
Colorado|Rocky Ford Clinic|903 S 12th St|Rocky Ford|Clinic|
Colorado|The Touber Building at City Hall|448 E 1st St|Salida|Drive-thru|"Tuesday and Tuesday, from 9:30 a.m. - 12 p.m"
Colorado|San Luis Health Center|233 Main St|San Luis|Clinic|
Colorado|Routt County Testing|522 Lincoln Avenue|Steamboat Springs|Clinic|
Colorado|YVMC Lab Via My Health Connection|1024 Central Park Drive|Steamboat Springs|Clinic|
Colorado|Steamboat Emergency Center|1600 Mid Valley Dr.|Steamboat Springs|Clinic|
Colorado|Steamboat Rapid Care with Memorial Regional Health|"2201 Curve Plaza, Unit A-101"|Steamboat Springs|Clinic|
Colorado|Rocky Mountain Internal Medicine|56441 E Colfax Ave|Strasburg|Clinic|
Colorado|Telluride Regional Medical Center|500 West Pacific Ave.|Telluride|Hospital|
Colorado|NextCare Urgent Care|9720 Grant St|Thornton|Drive-thru|
Colorado|AfterOurs Urgent Care|3212 East 104th Avenue|Thornton|Clinic|
Colorado|Walgreens|3905 East 104th Avenue|Thornton|Drive-thru|9am-5pm
Colorado|The Women's Health Group|9195 Grant Street|Thornton|Drive-thru|
Colorado|City of Thornton Infrastructure Maintenance Center|12450 Washington St|Thornton|Drive-thru|
Colorado|Vail Health|181 W. Meadow Drive|Vail|Clinic|
Colorado|Vail Health|108 South Frontage Road West. Suite 101|Vail|Clinic|
Colorado|Spanish Peaks Regional Health Center|23500 US-160|Walsenburg|Clinic|
Colorado|Custer County Medical Center|703 Edwards|Westcliffe|Drive-thru|
Colorado|Zip Clinic Urgent Care|5165 West 72nd Avenue|Westminster|Drive-thru|
Colorado|Advanced Urgent Care|9960 Wadsworth Pkwy. Ste 100|Westminster|Drive-thru|8am - 8pm
Colorado|Rocky Mountain Urgent Care|6080 W. 92nd Avenue Suite 1000|Westminster|Drive-thru|
Colorado|JeffCo Family Health Services Center|7495 West 29th Avenue|Wheat Ridge|Drive-thru|7 am to 7 pm
Colorado|Middle Park Health|47 Cooper Creek Way|Winter Park|Clinic|
Colorado|Woodland Park Middle School|600 E Kelley's|Woodland Park|Drive-thru|
Colorado|Charis Bible School|800 Gospel Truth Way|Woodland Park|Clinic|
Colorado|Wray Hospital and Clinic|1017 W 7th St|Wray|Hospital|8am - 12pm M-F
Colorado|KidsKare Point|South Parkside Drive||Drive-thru|M-F 9-5
Colorado|Teller County Public Health & Enviroment|||Drive-thru|
Connecticut|DOCS Urgent Care|6 Stony Hill Rd.|Bethel|Clinic|
Connecticut|CVS Health COVID-19 Testing Site|7 Durant Avenue|Bethel|Drive-thru|
Connecticut|Stony Creek Urgent Care|6 Business Park Dr. Suite 302|Branford|Clinic|
Connecticut|Southwest Community Health Center|1020 Fairfield Avenue|Bridgeport|Clinic|
Connecticut|Southwest Community Health Center|1046 Fairfield Avenue|Bridgeport|Clinic|
Connecticut|Southwest Community Health Center|46 Albion Street|Bridgeport|Clinic|
Connecticut|Southwest Community Health Center|510 Clinton Avenue|Bridgeport|Clinic|
Connecticut|Southwest Community Health Center|968 Fairfield Avenue|Bridgeport|Clinic|
Connecticut|Southwest Community Health Center|762 Lindley Street|Bridgeport|Clinic|
Connecticut|AFC Urgent Care Bridgeport|161 Boston Ave|Bridgeport|Clinic|8am - 8pm
Connecticut|DOCS Urgent Care|1677 E Main St|Bridgeport|Clinic|
Connecticut|AFC Urgent Care Bridgeport|4200 Main Street|Bridgeport|Clinic|8am - 8pm
Connecticut|Bridgeport Hospital - Ahlbin Center|226 Mill Hill Ave|Bridgeport|Drive-thru|"M-F 8-5, S-S 9-3"
Connecticut|Optimus Health Care|73 Frank St|Bridgeport|Drive-thru|
Connecticut|Bridgeport Hospital|267 Grant St|Bridgeport|Drive-thru|"M-F 8-5, Sat 9-3"
Connecticut|St. Vincent’s Medical Center|2979 Main Street|Bridgeport|Drive-thru|"Mon-Fri, 9am-5pm, Sat-Sun, 2-5pm."
Connecticut|Physician One Urgent Care|576 Farmington Avenue|Bristol|Drive-thru|
Connecticut|Bristol Hospital|145 Queen St|Bristol|Drive-thru|daily 8-4
Connecticut|CVS Health COVID-19 Testing Site|81 North Street|Bristol|Drive-thru|
Connecticut|Physician One Urgent Care|31 Old Rte 7|Brookfield|Drive-thru|
Connecticut|CVS Health COVID-19 Testing Site|292 Spielman Highway|Burlington|Drive-thru|
Connecticut|CVS Health COVID-19 Testing Site|905 South Main Street|Cheshire|Drive-thru|
Connecticut|CVS Health COVID-19 Testing Site|3514 Main Street|Coventry|Drive-thru|
Connecticut|CVS Health COVID-19 Testing Site|72 Berlin Road|Cromwell|Drive-thru|
Connecticut|Community Health Center|8 Delay Street|Danbury|Clinic|
Connecticut|"Community Health Care, Inc."|8 Delay Street|Danbury|Clinic|M-F 9am - 1pm
Connecticut|Nuvance Health|24 Hospital Avenue|Danbury|Clinic|
Connecticut|CVS Health COVID-19 Testing Site|47 Lake Avenue Extension|Danbury|Drive-thru|
Connecticut|Danbury Hospital|95 Locust Ave.|Danbury|Drive-thru|M-Sat 8:30 a.m. to 3:30 p.m
Connecticut|Westmed Medical Group|106 Noroton Avenue|Darien|Clinic|
Connecticut|Day Kimball Medical Group|1599 Upper Maple Street|Dayville|Drive-thru|2:00 p.m. to 4:30 p.m.
Connecticut|Killingly Intermediate School|1599 Upper Maple St.|Dayville|Drive-thru|
Connecticut|Griffin Hospital|130 Division Street|Derby|Drive-thru|M-F 8-5m S-S 8-3
Connecticut|Physician One Urgent Care|78 Pershing Drive|Derby|Drive-thru|
Connecticut|CVS Health COVID-19 Testing Site|54 East High Street|East Hampton|Drive-thru|
Connecticut|CVS Health COVID-19 Testing Site|16 Main Street|East Hartford|Drive-thru|
Connecticut|CVS Health COVID-19 Testing Site|15 Chesterfield Road|East Lyme|Drive-thru|
Connecticut|Priority Urgent Care|105 West Road|Ellington|Clinic|
Connecticut|Physician One Urgent Care|55 Hazard Avenue|Enfield|Drive-thru|
Connecticut|CVS Health COVID-19 Testing Site|875 Enfield Street|Enfield|Drive-thru|
Connecticut|AFC Urgent Care Fairfield|1918 Black Rock Turnpike|Fairfield|Clinic|8am - 8pm
Connecticut|CVS Health COVID-19 Testing Site|961 Black Rock Turnpike|Fairfield|Drive-thru|
Connecticut|CVS Health COVID-19 Testing Site|1770 Kings Highway|Fairfield|Drive-thru|
Connecticut|UConn Health|263 Farmington Avenue|Farmington|Drive-thru|M-F 10-2
Connecticut|"ProHealth Physicians, Farmington"|230 Farmington Ave.|Farmington|Drive-thru|
Connecticut|CVS Health COVID-19 Testing Site|1657 Route 12|Gales Ferry|Drive-thru|
Connecticut|Go Health UC|2520 Main St.|Glastonbury|Clinic|
Connecticut|Physician One Urgent Care|2928 Main Street|Glastonbury|Drive-thru|
Connecticut|CVS Health COVID-19 Testing Site|2639 Main Street|Glastonbury|Drive-thru|
Connecticut|Westmed Medical Group|644 West Putnam Avenue|Greenwich|Clinic|
Connecticut|Greenwich Doctors|1 East Putnam Avenue Ground Level|Greenwich|Clinic|
Connecticut|Greenwich Hospital - lower level physician parking lot|5 Perryridge Road|Greenwich|Drive-thru|"M-F 8-5, S-S 9-3"
Connecticut|Physician One Urgent Care|220 Route 12|Groton|Drive-thru|
Connecticut|CVS Health COVID-19 Testing Site|1057 Boston Post Road|Guilford|Drive-thru|
Connecticut|Physician One Urgent Care|2165 Dixwell Ave|Hamden|Drive-thru|
Connecticut|Community Health Center|76 New Britain Ave|Hartford|Clinic|
Connecticut|"Community Health Care, Inc."|76 New Britain Ave|Hartford|Clinic|M-F 9am - 1pm
Connecticut|CVS Health COVID-19 Testing Site|150 Washington Street|Hartford|Drive-thru|
Connecticut|CVS Health COVID-19 Testing Site|479 Blue Hills Avenue|Hartford|Drive-thru|
Connecticut|CVS Health COVID-19 Testing Site|690 Wethersfield Avenue|Hartford|Drive-thru|
Connecticut|Hartford Hospital - Education and Resource Center|560 Hudson Street|Hartford|Drive-thru|"Mon-Fri, 9am-5pm, Sat-Sun, 2-5pm."
Connecticut|Saint Francis Hospital - Gengras Building|1000 Asylum Street|Hartford|Drive-thru|"9-onwards, daily"
Connecticut|Go Health UC|244 Spencer St.|Manchester|Clinic|
Connecticut|Physician One Urgent Care|370 Middle Turnpike West|Manchester|Drive-thru|
Connecticut|Manchester Memorial Hospital|71 Haynes St.|Manchester|Drive-thru|
Connecticut|Manchester Hospital|71 Haynes St.|Manchester|Drive-thru|
Connecticut|Community Health Center|134 State Street|Meriden|Clinic|
Connecticut|"Community Health Care, Inc."|134 State Street|Meriden|Clinic|M-F 9am - 1pm
Connecticut|MidState Medical Center|435 Lewis Avenue|Meriden|Drive-thru|"Mon-Fri, 9am-5pm, Sat-Sun, 2-5pm."
Connecticut|Community Health Center|19 Grand St.|Middletown|Clinic|
Connecticut|"Community Health Care, Inc."|675 Main Street|Middletown|Clinic|M-F 9am - 1pm
Connecticut|"ProHealth Physicians, Middletown"|400 Saybrook Road|Middletown|Drive-thru|
Connecticut|Walgreens|10A Main Street|Middletown|Drive-thru|9am-5pm
Connecticut|Bridgeport Hospital Milford Campus|831 Boston Post Road|Milford|Drive-thru|
Connecticut|Community Health Center|85 Lafayette Street|New Britain|Clinic|
Connecticut|"Community Health Care, Inc."|85 Lafayette Street|New Britain|Clinic|M-F 9am - 1pm
Connecticut|Murphy Medical Associates|468 South Avenue|New Canaan|Drive-thru|09:30-12 F
Connecticut|Fair Haven Community Health|374 Grand Avenue|New Haven|Clinic|
Connecticut|Yale Main Campus|150 Sargent Drive|New Haven|Drive-thru|
Connecticut|Cornell Scott - Hill Health Center|226 Dixwell Avenue|New Haven||
Connecticut|Yale New Haven Hospital|20 York Street|New Haven|Clinic|
Connecticut|Yale New Haven Hospital|50 Sargent Drive|New Haven|Drive-thru|M-F 8-4:30
Connecticut|CVS Health COVID-19 Testing Site – Gateway Community College|60 Sargent Drive|New Haven|Drive-thru|
Connecticut|Lawrence & Memorial Hospital - Parking lot A|365 Montauk Ave|New London|Drive-thru|M-F 9-5
Connecticut|Community Health Center|1 Shaws Cove|New London|Clinic|
Connecticut|"Community Health Care, Inc."|1 Shaws Cove|New London|Clinic|M-F 9am - 1pm
Connecticut|Nuvance Health|21 Elm Street|New Milford|Clinic|
Connecticut|Premier Urgent Care|2909 Berlin TPK|Newington|Clinic|
Connecticut|Physician One Urgent Care|266 South Main Street|Newtown|Drive-thru|
Connecticut|Westmed Medical Group|40 Cross Street|Norwalk|Clinic|
Connecticut|Physician One Urgent Care|346 Main Ave.|Norwalk|Drive-thru|
Connecticut|Community Health Center|49 Day Street|Norwalk|Clinic|
Connecticut|"Community Health Care, Inc."|49 Day Street|Norwalk|Clinic|M-F 9am - 1pm
Connecticut|Norwalk Hospital|34 Maple St|Norwalk|Drive-thru|M-Sat 8:30-3:30
Connecticut|Physician One Urgent Care|607 West Main Street|Norwich|Drive-thru|
Connecticut|Backus Hospital|326 Washington Street|Norwich|Drive-thru|"9am-Noon, daily"
Connecticut|Stony Creek Urgent Care|236 Boston Post Rd.|Orange|Clinic|
Connecticut|Premier Urgent Care|278-2 Oxford Road|Oxford|Clinic|
Connecticut|CVS Health COVID-19 Testing Site|57 Providence Pike|Putnam|Drive-thru|
Connecticut|Physician One Urgent Care|10 South Street Suite101|Ridgefield|Drive-thru|
Connecticut|CVS Health COVID-19 Testing Site|323 Cromwell Avenue|Rocky Hill|Drive-thru|
Connecticut|AFC Urgent Care Shelton|389 Bridgeport Ave.|Shelton|Clinic|8am - 8pm
Connecticut|Easterm Connecticut Health Network|"2800 Tamarack Avenue, Suite 105"|South Windsor|Clinic|
Connecticut|CVS Health COVID-19 Testing Site|525 Buckland Street|South Windsor|Drive-thru|
Connecticut|Physician One Urgent Care|900 Main Street South|Southbury|Drive-thru|
Connecticut|Johnson Memorial Hospital - Community Medical Education Center|201 Chestnut Hill Road|Stafford Springs|Drive-thru|"9-onwards, daily"
Connecticut|Westmed Medical Group|1281 East Main Street|Stamford|Clinic|
Connecticut|Murphy Medical Associates|460 Shippan Avenue|Stamford|Drive-thru|6-8 M-F
Connecticut|Westhill High School|125 Roxbury Rd|Stamford|Drive-thru|M-F 8-4
Connecticut|Stamford Health|32 Strawberry Hill Court|Stamford|Clinic|
Connecticut|Stamford Health|One Hospital Plaza|Stamford|Clinic|
Connecticut|Greenwich Doctors|"30 Buxton Farms Road, Suite 220"|Stamford|Clinic|
Connecticut|Firefly Specialized Pediatric Urgent Care|123 High Ridge Road|Stamford|Clinic|
Connecticut|Community Health Center|22 Fifth Street|Stamford|Clinic|
Connecticut|"Community Health Care, Inc."|22 Fifth Street|Stamford|Clinic|M-F 9am - 1pm
Connecticut|CVS Health COVID-19 Testing Site|1938 West Main Street|Stamford|Drive-thru|
Connecticut|CVS Health COVID-19 Testing Site|229 Hope Street|Stamford|Drive-thru|
Connecticut|Murphy Medical Associates|1000 Main Street|Stratford|Drive-thru|10-12 M-Th
Connecticut|Greenwich Doctors|2900 Main Street Suite 1F|Stratford|Clinic|
Connecticut|Physician One Urgent Care|1040 Barnum Avenue|Stratford|Drive-thru|
Connecticut|CVS Health COVID-19 Testing Site|1 Hawley Lane|Stratford|Drive-thru|
Connecticut|Charlotte Hungerford Hospital|540 Litchfield Street|Torrington|Drive-thru|"Mon-Fri, 9am-5pm, Sat-Sun, 2-5pm."
Connecticut|CVS Health COVID-19 Testing Site|2005 Norwich - New London Turnpike|Uncasville|Drive-thru|
Connecticut|Priority Urgent Care|45 South Main Street|Unionville|Clinic|
Connecticut|Easterm Connecticut Health Network|31 Union Street|Vernon|Clinic|
Connecticut|Trinity Health|56 Franklin Street|Waterbury|Clinic|
Connecticut|Waterbury Hospital - Emergency Department|68 Robbins Street|Waterbury|Drive-thru|8-4 daily
Connecticut|Physician One Urgent Care|"920 Wolcott St, Suite 19"|Waterbury|Drive-thru|
Connecticut|Community Health Center|51 North Elm Street|Waterbury|Clinic|
Connecticut|"Community Health Care, Inc."|51 North Elm Street|Waterbury|Clinic|M-F 9am - 1pm
Connecticut|Saint Mary's Hospital - lower level of the Visitor's Garage|56 Franklin St|Waterbury|Drive-thru|"9-onwards, daily"
Connecticut|Go Health UC|"336 N Main St, Suite A"|West Hartford|Clinic|
Connecticut|Physician One Urgent Care|"21 North Main Street, Suite B"|West Hartford|Drive-thru|
Connecticut|CVS Health COVID-19 Testing Site|355 Campbell Avenue|West Haven|Drive-thru|
Connecticut|Westerly Hospital|25 Wells Street|Westerly|Clinic|
Connecticut|Murphy Medical Associates|88 North Avenue|Westport|Drive-thru|8:30-12 T
Connecticut|Kathy's Urgent Care|672 Silas Deane Highway|Wethersfield|Drive-thru|
Delaware|Project Baseline - Bear||Bear|Drive-thru|
Delaware|St. Elizabeth Ann Seton Parish|345 Bear Christiana Rd|Bear|Drive-thru|
Delaware|Bayhealth|640 S State St|Dover|Drive-thru|
Delaware|Doctors Pathology Services|1253 College Park Dr.|Dover|Drive-thru|
Delaware|C.A.R.E. Medical Center|"4601 South DuPont Highway, Lockmeath Plaza, Suite 2"|Dover|Clinic|
Delaware|Hosmane Urology|1408 Savannah Rd|Lewes|Drive-thru|
Delaware|Hosmane Urology|1408 Savannah Road|Lewes|Drive-thru|
Delaware|C.A.R.E. Medical Center|16337 Coastal Hwy.|Lewes|Clinic|
Delaware|Project Baseline - Millsboro||Millsboro|Drive-thru|
Delaware|Mariner Middle School|16391 Harbeson Rd|Milton|Drive-thru|Jun 20 9-noon
Delaware|Go Health UC|2600 Glasgow Avenue|Newark|Clinic|
Delaware|Go Health UC|200 Hygeia Drive|Newark|Clinic|
Delaware|MedExpress|1 Chestnut Hill Plaza|Newark|Clinic|
Delaware|Newark Urgent Care|324 E. Main St|Newark|Clinic|
Delaware|Christiana Care|200 Hygeia Drive|Newark|Clinic|
Delaware|Go Care Delaware|"One Centurian Drive, Suite 106"|Newark|Clinic|
Delaware|Nanticoke Memorial Hospital|801 Middleford Road|Seaford|Hospital|
Delaware|Go Health UC|100 South Main Street|Smyrna|Clinic|
Delaware|Project Baseline - Smyrna||Smyrna|Drive-thru|
Delaware|Beebe Healthcare||Sussex County|Drive-thru|
Delaware|Latin American Community Center|301 N Harrison Street|Wilmington|Clinic|Mon/Fri 10AM—1PM
Delaware|Kingswood Community Center|2300 Bowers Street|Wilmington|Clinic|Tu/Th 10AM-1PM
Delaware|Chase Center on the Riverfront|815 Justison St|Wilmington|Drive-thru|
Delaware|Doctors Pathology Services|390 Mitch Rd|Wilmington|Drive-thru|
Delaware|Project Baseline - Wilmington||Wilmington|Drive-thru|
Delaware|Saint Francis Healthcare|1072 Justison St|Wilmington|Drive-thru|
Delaware|Walgreens|536 Main St.|Wilmington|Drive-thru|9am-5pm
Delaware|Go Care Delaware|2700 Silverside Road|Wilmington|Clinic|
Delaware|Wilmington VA Medical Center|1601 Kirkwood Highway|Wilmington|Clinic|
Florida|CareSpot|"8756 W. Boynton Beach Blvd., Suite 150"|Boynton Beach|Clinic|Everyday 8AM—8PM
Florida|CVS Health COVID-19 Testing Site|301 North Federal Highway|Boynton Beach|Drive-thru|
Florida|CVS Health COVID-19 Testing Site|4302 Cortez Road W|Bradenton|Drive-thru|
Florida|CVS Health COVID-19 Testing Site|520 1st Street West|Bradenton|Drive-thru|
Florida|CVS Health COVID-19 Testing Site|715 Brandon Boulevard|Brandon|Drive-thru|
Florida|CVS Health COVID-19 Testing Site|12990 Cortez Boulevard|Brooksville|Drive-thru|
Florida|Cantonment Pediatrics|470 South Highway 29|Cantonment|Drive-thru|TTh
Florida|CVS Health COVID-19 Testing Site|4700 NW 183rd Street|Carol City|Drive-thru|
Florida|CVS Health COVID-19 Testing Site|2137 North Young Boulevard|Chiefland|Drive-thru|
Florida|Community Health Centers of Pinellas|707 East Druid Road|Clearwater|Drive-thru|M-F 10-3
Florida|CVS Health COVID-19 Testing Site|1899 North Highland Avenue|Clearwater|Drive-thru|
Florida|CVS Health COVID-19 Testing Site|1 South Missouri Avenue|Clearwater|Drive-thru|
Florida|CVS Health COVID-19 Testing Site|30387 US Highway 19 North|Clearwater|Drive-thru|
Florida|CVS Health COVID-19 Testing Site|4000 East Bay Drive|Clearwater|Drive-thru|
Florida|Florida Community Health Centers|315 South W.C. Owen Avenue|Clewiston|Drive-thru|
Florida|CVS Health COVID-19 Testing Site|4292 North Atlantic Avenue|Cocoa Beach|Drive-thru|
Florida|CareSpot|"4450 N. State Road, Suite 1"|Coconut Creek|Clinic|Everyday 8AM—8PM
Florida|CVS Health COVID-19 Testing Site|4701 South Flamingo Road|Cooper City|Drive-thru|
Florida|CVS Health COVID-19 Testing Site|5695 SW 8th St|Coral Gables|Drive-thru|
Florida|CareSpot|1205 N. University Drive|Coral Springs|Clinic|Everyday 8AM—8PM
Florida|Doris Ison Health Center|10300 SW 216th St.|Cutler Bay|Drive-thru|9 a.m. to noon
Florida|Posner Park|1300 Posner Blvd|Davenport|Drive-thru|M-F 9-2
Florida|CVS Health COVID-19 Testing Site|4610 South University Drive|Davie|Drive-thru|
Florida|CVS Health COVID-19 Testing Site|101 South Ridgewood Avenue|Daytona Beach|Drive-thru|
Florida|CVS Health COVID-19 Testing Site|3422 So. Atlantic Ave|Daytona Beach Shores|Drive-thru|
Florida|Daytona Racing and Card Club|960 S. Williamson Blvd.|"Daytona Beach,"|Drive-thru|8-5:30
Florida|CVS Health COVID-19 Testing Site|1806 West Hillsboro Boulevard|Deerfield Beach|Drive-thru|
Florida|CVS Health COVID-19 Testing Site|2 South Federal Highway|Deerfield Beach|Drive-thru|
Florida|CVS Health COVID-19 Testing Site|2497 South Woodland Boulevard|Deland|Drive-thru|
Florida|CVS Health COVID-19 Testing Site|901 North Woodland Boulevard|Deland|Drive-thru|
Florida|South County Civic Center|16700 Jog Road|Delray Beach|Drive-thru|M-F 8-4; Sa 8-12
Florida|CVS Health COVID-19 Testing Site|1690 South Federal Highway|Delray Beach|Drive-thru|
Florida|CVS Health COVID-19 Testing Site|2187 Howland Boulevard|Deltona|Drive-thru|
Florida|Deltona Plaza|1200 Deltona Blvd|Deltona|Drive-thru|8-5:30
Florida|CVS Health COVID-19 Testing Site|10701 NW 41st Street|Doral|Drive-thru|
Florida|Walmart|8651 NW 13th Ter|Doral|Drive-thru|"Mon, Wed, Fri 7 a.m. - 9 a.m."
Florida|CVS Health COVID-19 Testing Site|2175 Main Street|Dunedin|Drive-thru|
Florida|CVS Health COVID-19 Testing Site|11582 North Williams Street #5|Dunnellon|Drive-thru|
Florida|CVS Health COVID-19 Testing Site|238 US Highway 17|E. Palatka|Drive-thru|
Florida|CVS Health COVID-19 Testing Site|1760 South McCall Road|Englewood|Drive-thru|
Florida|Holiday Park|1150 G. Harold Martin Drive|Fort Lauderdale|Drive-thru|"Tuesday – Saturday, 9am to 6pm"
