State |Location |Address |City |Eligibility
Florida |CVS  Health  COVID-19  Testing  Site |2728  US  27  South |Sebring |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |10200  Seminole  Boulevard |Seminole |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |15843  East  Highway  40 |Silver  Springs |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |57  Tuscan  Way |St.  Augustine |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |175  SR  312 |St.  Augustine |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |2703  North  Ponce  de  Leon  Boulevard |St.  Augustine |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |Community  Health  Centers  of  Pinellas |1344  22nd  Street  South |St.  Petersburg |call  for  appt
Florida |BayCare  Health  System |900  Carillon  Parkway |St.  Petersburg |
Florida |CVS  Health  COVID-19  Testing  Site |8001  9th  Street  North |St.  Petersburg |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |209  South  Temple  Avenue |Starke |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |2284  S.E.  Federal  Highway |Stuart |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |Langley  Health  Services |1425  South  US  301 |Sumterville |call  ahead
Florida |Walmart |3306  N  University  Dr |Sunrise |
Florida |CVS  Health  COVID-19  Testing  Site |1300  Apalachee  Parkway |Tallahassee |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |1708  North  Monroe  Street |Tallahassee |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |5466  Thomasville  Road  North |Tallahassee |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |Northwood  Centre  parking  lot |1940  N  Monroe  St |Tallahassee |
Florida |CareSpot |10251  W.  Commercial  Blvd. |Tamarac |Anyone  with  symptoms;  Must  wear  a  face  mask;  call  for  appointment
Florida |CVS  Health  COVID-19  Testing  Site |3915  West  Commercial  Boulevard |Tamarac |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |Lee  Davis  Community  Resource  Center |3402  N  22nd  St |Tampa |call  to  register
Florida |CVS  Health  COVID-19  Testing  Site |7351  West  Hillsborough  Avenue |Tampa |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |8809  New  Tampa  Boulevard |Tampa |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |11212  Dale  Mabry  Highway |Tampa |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |625  West  Martin  Luther  King  Jr  Boulevard |Tampa |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |2911  East  Fowler  Avenue |Tampa |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |4120  #2  Henderson  Boulevard |Tampa |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |4401  West  Gandy  Boulevard |Tampa |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |5357  Ehrlich  Road |Tampa |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |611  South  Howard  Avenue |Tampa |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |Walgreens |3917  N  Nebraska  Ave |Tampa |Appointment  only  –  complete  questionnaire:  Walgreens.com/Covid19Testing
Florida |CVS  Health  COVID-19  Testing  Site |1000  East  Tarpon  Ave |Tarpon  Springs |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |Premiere  Medical  Associates |1580  Santa  Barbara  Blvd |The  Villages |
Florida |CVS  Health  COVID-19  Testing  Site |5208  East  CR  466 |The  Villages |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |The  Villages  Polo  Club |703  N  Buena  Vista  Blvd |The  Villages |
Florida |Titusville  Clinic |611  N.  Singleton  Ave |Titusville |call  for  pre-screen  if  symptomatic
Florida |CVS  Health  COVID-19  Testing  Site |5  Garden  Street |Titusville |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |1010  Bloomingdale  Avenue |Valrico |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |215  Jacaranda  Boulevard |Venice |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |4090  South  Tamiami  Trail |Venice |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |Cleveland  Clinic  (Indian  River  Hospital  Employee  Parking  Lot) |1000  36th  Street |Vero  Beach |call  for  pre-screen;  must  meet  testing  criteria  -  https://s33330.pcdn.co/wp-content/uploads/2020/03/Clinical_Guidance_Chart_3-15-20_Final-1.pdf
Florida |CVS  Health  COVID-19  Testing  Site |1706  U.S.  Highway  1 |Vero  Beach |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |Viera  Clinic |2555  Judge  Fran  Jamieson  Way |Viera |call  for  pre-screen  if  symptomatic
Florida |CVS  Health  COVID-19  Testing  Site |301  South  6th  Avenue |Wauchula |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |9204  Cortez  Boulevard |Weeki  Wachee |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CareSpot |"129  S.  State  Rd.  7,  Suite  401" |Wellington/Royal  Palm  Beach |Anyone  with  symptoms;  Must  wear  a  face  mask;  call  for  appointment
Florida |Ballpark  of  the  Palm  Beaches |5444  Haverhill  Road |West  Palm  Beach |call  first  for  pre-screen
Florida |"FoundCare,  Inc" |2330  South  Congress  Avenue |West  Palm  Beach |"call  for  screening;  first  responders,  healthcare  workers,  and  over  65  prioritized"
Florida |MD  Now  Urgent  Care |2606  S  Dixie  Hwy. |West  Palm  Beach |
Florida |CVS  Health  COVID-19  Testing  Site |6800  South  Dixie  Highway |West  Palm  Beach |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |245  South  Military  Trail |West  Palm  Beach |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |Krupa  Center |3250  Meridian  Pkwy |Weston |Appt  only
Florida |CVS  Health  COVID-19  Testing  Site |435  East  Noble  Avenue |Williston |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |West  Orange  Park |150  Windermere  Road |Winter  Garden |appt
Florida |CVS  Health  COVID-19  Testing  Site |970  Cypress  Gardens  Boulevard  SE |Winter  Haven |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |7009  Cypress  Gardens  Boulevard |Winter  Haven |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CareNow  Urgent  Care |7460  University  Blvd |Winter  Park |
Florida |CVS  Health  COVID-19  Testing  Site |2527  Aloma  Avenue |Winter  Park |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |1510  Semoran  Boulevard |Winter  Park |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CVS  Health  COVID-19  Testing  Site |839  North  Orlando  Avenue |Winter  Park |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |CareSpot |5355  Red  Bug  Lake  Road |Winter  Springs |Anyone  with  symptoms;  Must  wear  a  face  mask;  call  for  appointment
Florida |CVS  Health  COVID-19  Testing  Site |5650  Red  Bug  Lake  Road |Winter  Springs |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
District  of  Columbia |FEMS  Engine  10 |"1342  Florida  Avenue,  NE" |Washington |coronavirus.dc.gov/register
Florida |CVS  Health  COVID-19  Testing  Site |36440  State  Road  54 |Zephyhills  West |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Florida |Broward  Health |Call  for  details | |Appt  only
Georgia |Decatur  Armory |3736  Durham  Park  Road |Acworth |call  for  screening
Georgia |Peachtree  Immediate  Care |3540  North  Cobb  Pkwy  NW |Acworth |pre  register  on  site
Georgia |CVS  Health  COVID-19  Testing  Site |4595  Highway  92 |Acworth |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |609  North  Westover  Boulevard |Albany |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |National  Guard |Albany  Civic  Center |Albany |
Georgia |Peachtree  Immediate  Care |10905  Haynes  Bridge  Rd |Alpharetta |pre  register  on  site
Georgia |North  Atlanta  Primary  Care |"3400-C  Old  Milton  Parkway,  Suite  270" |Alpharetta |
Georgia |Life  Hope |4350  N  Point  Pkwy |Alpharetta |
Georgia |CVS  Health  COVID-19  Testing  Site |9920  Jones  Bridge  Road |Alpharetta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |10710  State  Bridge  Rd |Alpharetta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |Peachtree  Immediate  Care |1480  Baxter  Street |Athens |pre  register  on  site
Georgia |CVS  Health  COVID-19  Testing  Site |395  North  Avenue |Athens |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |3595  Atlanta  Highway |Athens |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |795  Oglethorpe  Avenue |Athens |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |Emory  Healthcare |6  Executive  Park  Drive  NE |Atlanta |call  to  register
Georgia |Urgent  Care  24/7  Centennial  Park |"285  Centennial  Olympic  Park  Drive  NW,  CU-2A" |Atlanta |
Georgia |Highland  Urgent  Care |920  Ponce  de  Leon  Ave  NE |Atlanta |
Georgia |Georgia  State  University  Stadium |33  Gilmer  Street  SE |Atlanta |call  for  screening
Georgia |Greenbriar  Mall |2841  Greenbriar  Parkway  SW |Atlanta |call  for  screening
Georgia |CVS  Health  COVID-19  Testing  Site |2429  Martin  Luther  King  Jr.  Drive |Atlanta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |2555  Bolton  Road |Atlanta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |3815  Clairmont  Road |Atlanta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |680  Ponce  de  Leon  Avenue  NE |Atlanta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |895  Ralph  David  Abernathy  Boulevard |Atlanta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |AllCare |3867  Roswell  Rd  NE |Atlanta |telemedicine  pre-screen
Georgia |CVS  Health  COVID-19  Testing  Site |1455  Moreland  Avenue |Atlanta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |1610  Mount  Vernon  Road  Suite  100 |Atlanta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |"2237  Cascade  Road,  SW" |Atlanta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |"2350  Cheshire  Bridge  Road,  NE" |Atlanta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |3221  Peachtree  Road  NE |Atlanta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |3435  Ashford  Dunwoody  Road  NE |Atlanta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |439  North  Highland  Avenue |Atlanta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site  –  Georgia  Tech |"North  Ave  NW,  North  Campus  Parking  Deck" |Atlanta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |McGhee  Tennis  Center |820  Beecher  Court  SW |Atlanta |
Georgia |North  Atlanta  Primary  Care |1110  West  Peachtree  Street  NW |Atlanta/Midtown |
Georgia |North  Atlanta  Primary  Care |1150  Hammond  Drive |Atlanta/Sandy  Springs |
Georgia |North  Atlanta  Primary  Care |3200  Downwood  Circle |Atlanta/West  Paces |
Georgia |CVS  Health  COVID-19  Testing  Site |1685  Atlanta  Highway  NW |Auburn |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |MedNow  Urgent  Care |2604  Peach  Orchard  Road |Augusta |
Georgia |MedNow  Urgent  Care |2851  Washington  Road |Augusta |
Georgia |MedNow  Urgent  Care |2030  Walton  Way |Augusta |
Georgia |CVS  Health  COVID-19  Testing  Site |1520  Walton  Way |Augusta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |2559  Windsor  Spring  Road |Augusta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |2703  Washington  Road |Augusta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |3231  Wrightsboro  Road |Augusta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |Peachtree  Immediate  Care |1850  East  West  Connector |Austell |pre  register  on  site
Georgia |CVS  Health  COVID-19  Testing  Site |800  East  West  Connector  SW |Austell |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |817  East  Shotwell  Street |Bainbridge |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |19  East  Parker  Street |Baxley |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |Braselton  Urgent  Care |"2620  Old  Winder  Highway,  Ste  300" |Braselton |call  before  visiting;  wear  a  mask
Georgia |North  Atlanta  Primary  Care |"1255  Friendship  Rd.,  Suite  130" |Braselton |
Georgia |Higgins  General  Hospital |200  Allen  Memorial  Drive |Bremen |Must  have  symptoms  and  either  be  admitted  or  part  of  a  high-risk  population
Georgia |Peachtree  Immediate  Care |4400  Peachtree  Road  NE |Brookhaven |pre  register  on  site
Georgia |CVS  Health  COVID-19  Testing  Site |5421  New  Jesup  Highway |Brunswick |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |North  Atlanta  Primary  Care |4700  Nelson  Brogdon  Blvd. |Buford |
Georgia |CVS  Health  COVID-19  Testing  Site |1950  Buford  Highway |Buford |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |402  North  Wall |Calhoun |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |3785  Sixes  Road |Canton |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |6120  Hickory  Flat  Highway |Canton |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |Tanner  Medical  Center |705  Dixie  Street |Carrollton |Must  have  symptoms  and  either  be  admitted  or  part  of  a  high-risk  population
Georgia |CVS  Health  COVID-19  Testing  Site |2125  Maple  Street |Carrollton |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |13  North  Tennessee  Street |Cartersville |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |Georgia  Department  of  Public  Health’s  West  Central  Health  District |2100  Comer  Ave. |Columbus |
Georgia |CVS  Health  COVID-19  Testing  Site |3127  Macon  Road |Columbus |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |4432  Miller  Road |Columbus |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |1622  S.  Lumpkin  Road |Columbus |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |4561  River  Road |Columbus |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |214  East  16th  Avenue |Cordele |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |Walmart |250  Furniture  Dr |Cornelia |
Georgia |CVS  Health  COVID-19  Testing  Site |4192  Salem  Road |Covington |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |North  Atlanta  Primary  Care |1800  Northside  Forsyth  Dr. |Cumming |
Georgia |CVS  Health  COVID-19  Testing  Site |4895  Post  Road |Cumming |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |3027  Jim  Moore  Road |Dacula |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |Physicians  Care |1209  W  Walnut  Ave  Suite  1 |Dalton |
Georgia |CVS  Health  COVID-19  Testing  Site |2501  East  Walnut  Ave |Dalton |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |2791  Cleveland  Highway |Dalton |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |Peachtree  Immediate  Care |1829  Lawrenceville  Highway |Decatur |pre  register  on  site
Georgia |CVS  Health  COVID-19  Testing  Site |2586  Lawrenceville  Highway |Decatur |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |3820  North  Decatur  Road |Decatur |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |225  West  Ponce  DeLeon  Avenue |Decatur |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |2458  Candler  Road |Decatur |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |2738  North  Decatur  Road |Decatur |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |912  West  Ward  Street |Douglas |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |6031  Fairburn  Road |Douglasville |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |1025  Hillcrest  Parkway |Dublin |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |Walgreens |2325  Pleasant  Hill  Road |Duluth |Appointment  only  –  complete  questionnaire:  Walgreens.com/Covid19Testing
Georgia |North  Atlanta  Primary  Care |4800  Olde  Towne  Pkwy |East  Cobb |
Georgia |CVS  Health  COVID-19  Testing  Site |2907  Main  Street |East  Point |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |535  Oak  Street |Eastman |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |232  Elbert  Street |Elberton |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |MedNow  Urgent  Care |104  N  Belair  Rd |Evans |
Georgia |CVS  Health  COVID-19  Testing  Site |1044  Furys  Ferry  Road |Evans |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |5101  Washington  Road |Evans |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |480  Glynn  Street |Fayetteville |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |Walgreens |833  Forest  Parkway |Forest  Park |No  appointment  needed.  A  valid  ID  is  required.  Bring  insurance  card  if  you  have  one.
Georgia |Physicians  Care |400  Battlefield  Pkwy |Fort  Oglethorpe |
Georgia |CVS  Health  COVID-19  Testing  Site |104  Vineville  Street |Fort  Valley |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |Eastside  Urgent  Care |"2594  Loganville  Hwy,  Suite  #101" |Grayson |
Georgia |CVS  Health  COVID-19  Testing  Site |736  South  Hill  Street |Griffin |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |MedNow  Urgent  Care |Lewiston  Road |Grovetown |
Georgia |CVS  Health  COVID-19  Testing  Site |869  Horizon  South  Parkway |Grovetown |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |92  South  Tallahassee  Street |Hazelhurst |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |Walmart |4335  Windsor  Spring  Rd |Hepzibah |
Georgia |CVS  Health  COVID-19  Testing  Site |506  East  3rd  Street |Jackson |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |266  East  Church  Street |Jasper |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |348  West  Pine  Street |Jesup |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |Peachtree  Immediate  Care |2575  Peachtree  Pkwy |Johns  Creek |pre  register  on  site
Georgia |CVS  Health  COVID-19  Testing  Site |10307  Tara  Blvd |Jonesboro |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |8139  Tara  Boulevard |Jonesboro |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |Kennesaw  State  University |1000  Chastain  Road  NW |Kennesaw |call  for  screening
Georgia |CVS  Health  COVID-19  Testing  Site |1402  Boone  Street |Kingsland |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |1597  Hogansville  Rd. |LaGrange |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |1802  Roanoke  Road |LaGrange |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |Eastside  Urgent  Care |"3330  Sugarloaf  Parkway,  Suite  A" |Lawrenceville |
Georgia |North  Atlanta  Primary  Care |771  Old  Norcross  Road |Lawrenceville |
Georgia |CVS  Health  COVID-19  Testing  Site |2650  Cruse  Road |Lawrenceville |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |2935  Five  Forks  Trickum  Road |Lawrenceville |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |202  Grayson  Highway |Lawrenceville |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |1187  Grayson  Highway |Lawrenceville |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |5710  Sugarloaf  Parkway  NW |Lawrenceville |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |1193  Highway  19  South |Leesburg |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |GCFC  Health  Services |5378  Lawrenceville  hwy |Lilburn |
Georgia |Eastside  Urgent  Care |976  Killian  Hill  Road |Lilburn |
Georgia |CVS  Health  COVID-19  Testing  Site |5575  Lawrenceville  Highway |Lilburn |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |815  Beaver  Ruin  Road |Lilburn |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |Eastside  Urgent  Care |"3435  Highway  81,  Suite  100" |Loganville |
Georgia |CVS  Health  COVID-19  Testing  Site |1615  Forest  Hill  Road |Macon |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |4291  Mercer  University  Drive |Macon |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |1544  Bass  Road |Macon |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |4080  Bloomfield  Road |Macon |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |1271  Gray  Highway |Macon |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |Jim  R  Miller  Park |2245  Callaway  Rd  SW |Marietta |high  risk  individuals  only;  call  for  more  info
Georgia |North  Atlanta  Primary  Care |141  Lacy  Street |Marietta |
Georgia |CVS  Health  COVID-19  Testing  Site |3930  Shallowford  Road |Marietta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |1172  Milford  Church  Road  SW |Marietta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |100  East  Piedmont  Road |Marietta |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |3527  Old  Petersburg  Road |Martinez |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |2098  Highway  20  West |McDonough |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |2720  Highway  42  North |McDonough |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |423  South  Wayne  Street |Milledgeville |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |960  N.  Columbus  Street |Milledgeville |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |Walmart |240  Lawrence  Road |Milledgeville |
Georgia |Peachtree  Immediate  Care |2005  Mt  Zion  Rd |Morrow |pre  register  on  site
Georgia |CVS  Health  COVID-19  Testing  Site |6716  Mt.  Zion  Boulevard |Morrow |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |CVS  Health  COVID-19  Testing  Site |1027  South  Main  Street |Moultrie |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Georgia |Peachtree  Immediate  Care |371  Newnan  Crossing  Bypass |Newnan |pre  register  on  site
Georgia |CVS  Health  COVID-19  Testing  Site |5304  North  Buford  Highway |Norcross |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
