State |Location |Address |City |Phone Number
Connecticut |Stony Creek Urgent Care |6 Business Park Dr. Suite 302 |Branford |203.483.4580
Connecticut |Southwest Community Health Center |1020 Fairfield Avenue |Bridgeport |(203) 330-6000
Connecticut |Southwest Community Health Center |1046 Fairfield Avenue |Bridgeport |(203) 330-6000
Connecticut |Southwest Community Health Center |46 Albion Street |Bridgeport |(203) 330-6000
Connecticut |Southwest Community Health Center |510 Clinton Avenue |Bridgeport |(203) 330-6000
Connecticut |Southwest Community Health Center |968 Fairfield Avenue |Bridgeport |(203) 330-6000
Connecticut |Southwest Community Health Center |762 Lindley Street |Bridgeport |(203) 576-5131
Connecticut |AFC Urgent Care Bridgeport |161 Boston Ave |Bridgeport |203-333-4400
Connecticut |DOCS Urgent Care |1677 E Main St |Bridgeport |203-612-7929
Connecticut |AFC Urgent Care Bridgeport |4200 Main Street |Bridgeport |203-916-5151
Connecticut |Bridgeport Hospital - Ahlbin Center |226 Mill Hill Ave |Bridgeport |203-ASK-YNHH
Connecticut |Optimus Health Care |73 Frank St |Bridgeport |203.683.3630
Connecticut |Bridgeport Hospital |267 Grant St |Bridgeport |N/A
Connecticut |St. Vincent’s Medical Center |2979 Main Street |Bridgeport |N/A
Connecticut |Physician One Urgent Care |576 Farmington Avenue |Bristol |860.845.5763
Connecticut |Bristol Hospital |145 Queen St |Bristol |N/A
Connecticut |CVS Health COVID-19 Testing Site |81 North Street |Bristol |N/A
Connecticut |Physician One Urgent Care |31 Old Rte 7 |Brookfield |203.885.0808
Connecticut |CVS Health COVID-19 Testing Site |292 Spielman Highway |Burlington |N/A
Connecticut |CVS Health COVID-19 Testing Site |905 South Main Street |Cheshire |N/A
Connecticut |CVS Health COVID-19 Testing Site |3514 Main Street |Coventry |N/A
Connecticut |CVS Health COVID-19 Testing Site |72 Berlin Road |Cromwell |N/A
Connecticut |Community Health Center |8 Delay Street |Danbury |475-241-0740
Connecticut |"Community Health Care, Inc." |8 Delay Street |Danbury |475.241.0740
Connecticut |Nuvance Health |24 Hospital Avenue |Danbury |866-374-0007
Connecticut |CVS Health COVID-19 Testing Site |47 Lake Avenue Extension |Danbury |N/A
Connecticut |Danbury Hospital |95 Locust Ave. |Danbury |N/A
Connecticut |Westmed Medical Group |106 Noroton Avenue |Darien |(203) 210-2890
Connecticut |Day Kimball Medical Group |1599 Upper Maple Street |Dayville |(860) 928-6541
Connecticut |Killingly Intermediate School |1599 Upper Maple St. |Dayville |N/A
Connecticut |Griffin Hospital |130 Division Street |Derby |203-437-6815
Connecticut |Physician One Urgent Care |78 Pershing Drive |Derby |203.516.5307
Connecticut |CVS Health COVID-19 Testing Site |54 East High Street |East Hampton |N/A
Connecticut |CVS Health COVID-19 Testing Site |16 Main Street |East Hartford |N/A
Connecticut |CVS Health COVID-19 Testing Site |15 Chesterfield Road |East Lyme |N/A
Connecticut |Priority Urgent Care |105 West Road |Ellington |(860) 454-0678
Connecticut |Physician One Urgent Care |55 Hazard Avenue |Enfield |860.745.9911
Connecticut |CVS Health COVID-19 Testing Site |875 Enfield Street |Enfield |N/A
Connecticut |AFC Urgent Care Fairfield |1918 Black Rock Turnpike |Fairfield |203.583.8400
Connecticut |CVS Health COVID-19 Testing Site |961 Black Rock Turnpike |Fairfield |N/A
Connecticut |CVS Health COVID-19 Testing Site |1770 Kings Highway |Fairfield |N/A
Connecticut |UConn Health |263 Farmington Avenue |Farmington |860-679-1869
Connecticut |"ProHealth Physicians, Farmington" |230 Farmington Ave. |Farmington |N/A
Connecticut |CVS Health COVID-19 Testing Site |1657 Route 12 |Gales Ferry |N/A
Connecticut |Go Health UC |2520 Main St. |Glastonbury |(860) 968-0430
Connecticut |Physician One Urgent Care |2928 Main Street |Glastonbury |860.657.8289
Connecticut |CVS Health COVID-19 Testing Site |2639 Main Street |Glastonbury |N/A
Connecticut |Westmed Medical Group |644 West Putnam Avenue |Greenwich |(203) 210-2800
Connecticut |Greenwich Doctors |1 East Putnam Avenue Ground Level |Greenwich |203-658-6051
Connecticut |Greenwich Hospital - lower level physician parking lot |5 Perryridge Road |Greenwich |203-ASK-YNHH
Connecticut |Physician One Urgent Care |220 Route 12 |Groton |860-446-6137
Connecticut |CVS Health COVID-19 Testing Site |1057 Boston Post Road |Guilford |N/A
Connecticut |Physician One Urgent Care |2165 Dixwell Ave |Hamden |203.248.2727
Connecticut |Community Health Center |76 New Britain Ave |Hartford |475-241-0740
Connecticut |"Community Health Care, Inc." |76 New Britain Ave |Hartford |475.241.0740
Connecticut |CVS Health COVID-19 Testing Site |150 Washington Street |Hartford |N/A
Connecticut |CVS Health COVID-19 Testing Site |479 Blue Hills Avenue |Hartford |N/A
Connecticut |CVS Health COVID-19 Testing Site |690 Wethersfield Avenue |Hartford |N/A
Connecticut |Hartford Hospital - Education and Resource Center |560 Hudson Street |Hartford |N/A
Connecticut |Saint Francis Hospital - Gengras Building |1000 Asylum Street |Hartford |N/A
Connecticut |Go Health UC |244 Spencer St. |Manchester |(860) 474-3963
Connecticut |Physician One Urgent Care |370 Middle Turnpike West |Manchester |860.516.5070
Connecticut |Manchester Memorial Hospital |71 Haynes St. |Manchester |860.646.1222
Connecticut |Manchester Hospital |71 Haynes St. |Manchester |N/A
Connecticut |Community Health Center |134 State Street |Meriden |475-241-0740
Connecticut |"Community Health Care, Inc." |134 State Street |Meriden |475.241.0740
Connecticut |MidState Medical Center |435 Lewis Avenue |Meriden |N/A
Connecticut |Community Health Center |19 Grand St. |Middletown |475-241-0740
Connecticut |"Community Health Care, Inc." |675 Main Street |Middletown |475.241.0740
Connecticut |"ProHealth Physicians, Middletown" |400 Saybrook Road |Middletown |N/A
Connecticut |Walgreens |10A Main Street |Middletown |N/A
Connecticut |Bridgeport Hospital Milford Campus |831 Boston Post Road |Milford |833-ASK-YNHH
Connecticut |Community Health Center |85 Lafayette Street |New Britain |475-241-0740
Connecticut |"Community Health Care, Inc." |85 Lafayette Street |New Britain |475.241.0740
Connecticut |Murphy Medical Associates |468 South Avenue |New Canaan |(203) 658-6051
Connecticut |Fair Haven Community Health |374 Grand Avenue |New Haven |(203) 777-7411
Connecticut |Yale Main Campus |150 Sargent Drive |New Haven |1-833-275-9644
Connecticut |Cornell Scott - Hill Health Center |226 Dixwell Avenue |New Haven |203-503-3000
Connecticut |Yale New Haven Hospital |20 York Street |New Haven |203-688-4242
Connecticut |Yale New Haven Hospital |50 Sargent Drive |New Haven |203-ASK-YNHH
Connecticut |CVS Health COVID-19 Testing Site – Gateway Community College |60 Sargent Drive |New Haven |N/A
Connecticut |Lawrence & Memorial Hospital - Parking lot A |365 Montauk Ave |New London |203-ASK-YNHH
Connecticut |Community Health Center |1 Shaws Cove |New London |475-241-0740
Connecticut |"Community Health Care, Inc." |1 Shaws Cove |New London |475.241.0740
Connecticut |Nuvance Health |21 Elm Street |New Milford |800-350-1595
Connecticut |Premier Urgent Care |2909 Berlin TPK |Newington |(860) 345-1143
Connecticut |Physician One Urgent Care |266 South Main Street |Newtown |203.270.9000
Connecticut |Westmed Medical Group |40 Cross Street |Norwalk |(203) 845-4800
Connecticut |Physician One Urgent Care |346 Main Ave. |Norwalk |203.846.0005
Connecticut |Community Health Center |49 Day Street |Norwalk |475-241-0740
Connecticut |"Community Health Care, Inc." |49 Day Street |Norwalk |475.241.0740
Connecticut |Norwalk Hospital |34 Maple St |Norwalk |N/A
Connecticut |Physician One Urgent Care |607 West Main Street |Norwich |860.892.9000
Connecticut |Backus Hospital |326 Washington Street |Norwich |N/A
Connecticut |Stony Creek Urgent Care |236 Boston Post Rd. |Orange |203.815.1054
Connecticut |Premier Urgent Care |278-2 Oxford Road |Oxford |(203) 717-4353
Connecticut |CVS Health COVID-19 Testing Site |57 Providence Pike |Putnam |N/A
Connecticut |Physician One Urgent Care |10 South Street Suite101 |Ridgefield |203-431-4600
Connecticut |CVS Health COVID-19 Testing Site |323 Cromwell Avenue |Rocky Hill |N/A
Connecticut |AFC Urgent Care Shelton |389 Bridgeport Ave. |Shelton |203.567.4171
Connecticut |Easterm Connecticut Health Network |"2800 Tamarack Avenue, Suite 105" |South Windsor |860.533.4686
Connecticut |CVS Health COVID-19 Testing Site |525 Buckland Street |South Windsor |N/A
Connecticut |Physician One Urgent Care |900 Main Street South |Southbury |203.262.1911
Connecticut |Johnson Memorial Hospital - Community Medical Education Center |201 Chestnut Hill Road |Stafford Springs |N/A
Connecticut |Westmed Medical Group |1281 East Main Street |Stamford |(203) 325-4087
Connecticut |Murphy Medical Associates |460 Shippan Avenue |Stamford |(203) 658-6051
Connecticut |Westhill High School |125 Roxbury Rd |Stamford |1-883-508-8378
Connecticut |Stamford Health |32 Strawberry Hill Court |Stamford |203-276-2222
Connecticut |Stamford Health |One Hospital Plaza |Stamford |203-276-7777
Connecticut |Greenwich Doctors |"30 Buxton Farms Road, Suite 220" |Stamford |203-658-6051
Connecticut |Firefly Specialized Pediatric Urgent Care |123 High Ridge Road |Stamford |203-968-1900
Connecticut |Community Health Center |22 Fifth Street |Stamford |475-241-0740
Connecticut |"Community Health Care, Inc." |22 Fifth Street |Stamford |475.241.0740
Connecticut |CVS Health COVID-19 Testing Site |1938 West Main Street |Stamford |N/A
Connecticut |CVS Health COVID-19 Testing Site |229 Hope Street |Stamford |N/A
Connecticut |Murphy Medical Associates |1000 Main Street |Stratford |(203) 658-6051
Connecticut |Greenwich Doctors |2900 Main Street Suite 1F |Stratford |203-658-6051
Connecticut |Physician One Urgent Care |1040 Barnum Avenue |Stratford |203.377.5733
Connecticut |CVS Health COVID-19 Testing Site |1 Hawley Lane |Stratford |N/A
Connecticut |Charlotte Hungerford Hospital |540 Litchfield Street |Torrington |N/A
Connecticut |CVS Health COVID-19 Testing Site |2005 Norwich - New London Turnpike |Uncasville |N/A
Connecticut |Priority Urgent Care |45 South Main Street |Unionville |(860) 470-7710
Connecticut |Easterm Connecticut Health Network |31 Union Street |Vernon |860.872.0501
Connecticut |Trinity Health |56 Franklin Street |Waterbury |(203) 709-6000
Connecticut |Waterbury Hospital - Emergency Department |68 Robbins Street |Waterbury |203-575-5250
Connecticut |Physician One Urgent Care |"920 Wolcott St, Suite 19" |Waterbury |203.574.1200
Connecticut |Community Health Center |51 North Elm Street |Waterbury |475-241-0740
Connecticut |"Community Health Care, Inc." |51 North Elm Street |Waterbury |475.241.0740
Connecticut |Saint Mary's Hospital - lower level of the Visitor's Garage |56 Franklin St |Waterbury |N/A
Connecticut |Go Health UC |"336 N Main St, Suite A" |West Hartford |(860) 200-7701
Connecticut |Physician One Urgent Care |"21 North Main Street, Suite B" |West Hartford |860.236.3911
Connecticut |CVS Health COVID-19 Testing Site |355 Campbell Avenue |West Haven |N/A
Connecticut |Westerly Hospital |25 Wells Street |Westerly |401-596-6000
Connecticut |Murphy Medical Associates |88 North Avenue |Westport |(203) 658-6051
Connecticut |Kathy's Urgent Care |672 Silas Deane Highway |Wethersfield |860-967-3600
Delaware |Project Baseline - Bear | |Bear |N/A
Delaware |St. Elizabeth Ann Seton Parish |345 Bear Christiana Rd |Bear |N/A
Delaware |Bayhealth |640 S State St |Dover |N/A
Delaware |Doctors Pathology Services |1253 College Park Dr. |Dover |N/A
Delaware |C.A.R.E. Medical Center |"4601 South DuPont Highway, Lockmeath Plaza, Suite 2" |Dover |(302) 698.1100
Delaware |Hosmane Urology |1408 Savannah Rd |Lewes |N/A
Delaware |Hosmane Urology |1408 Savannah Road |Lewes |N/A
Delaware |C.A.R.E. Medical Center |16337 Coastal Hwy. |Lewes |(302) 698.1100
Delaware |Project Baseline - Millsboro | |Millsboro |N/A
Delaware |Mariner Middle School |16391 Harbeson Rd |Milton |302-645-3200
Delaware |Go Health UC |2600 Glasgow Avenue |Newark |(302) 273-1317
Delaware |Go Health UC |200 Hygeia Drive |Newark |(302) 273-1701
Delaware |MedExpress |1 Chestnut Hill Plaza |Newark |302-266-0930
Delaware |Newark Urgent Care |324 E. Main St |Newark |302-738-4300
Delaware |Christiana Care |200 Hygeia Drive |Newark |800-693-CARE
Delaware |Go Care Delaware |"One Centurian Drive, Suite 106" |Newark |302-999-0003
Delaware |Nanticoke Memorial Hospital |801 Middleford Road |Seaford |302-629-7946
Delaware |Go Health UC |100 South Main Street |Smyrna |(302) 273-1163
Delaware |Project Baseline - Smyrna | |Smyrna |N/A
Delaware |Beebe Healthcare | |Sussex County |302-645-3200
Delaware |Latin American Community Center |301 N Harrison Street |Wilmington |302-320-6439
Delaware |Kingswood Community Center |2300 Bowers Street |Wilmington |302-428-6586
Delaware |Chase Center on the Riverfront |815 Justison St |Wilmington |N/A
Delaware |Doctors Pathology Services |390 Mitch Rd |Wilmington |N/A
Delaware |Project Baseline - Wilmington | |Wilmington |N/A
Delaware |Saint Francis Healthcare |1072 Justison St |Wilmington |N/A
Delaware |Walgreens |536 Main St. |Wilmington |N/A
Delaware |Go Care Delaware |2700 Silverside Road |Wilmington |302-225-6868
Delaware |Wilmington VA Medical Center |1601 Kirkwood Highway |Wilmington |302-994-2511
Florida |CareSpot |"8756 W. Boynton Beach Blvd., Suite 150" |Boynton Beach |561-221-6984
Florida |CVS Health COVID-19 Testing Site |301 North Federal Highway |Boynton Beach |N/A
Florida |CVS Health COVID-19 Testing Site |4302 Cortez Road W |Bradenton |N/A
Florida |CVS Health COVID-19 Testing Site |520 1st Street West |Bradenton |N/A
Florida |CVS Health COVID-19 Testing Site |715 Brandon Boulevard |Brandon |N/A
Florida |CVS Health COVID-19 Testing Site |12990 Cortez Boulevard |Brooksville |N/A
Florida |Cantonment Pediatrics |470 South Highway 29 |Cantonment |(850) 746-2684
Florida |CVS Health COVID-19 Testing Site |4700 NW 183rd Street |Carol City |N/A
Florida |CVS Health COVID-19 Testing Site |2137 North Young Boulevard |Chiefland |N/A
Florida |Community Health Centers of Pinellas |707 East Druid Road |Clearwater |727-824-8181
Florida |CVS Health COVID-19 Testing Site |1899 North Highland Avenue |Clearwater |N/A
Florida |CVS Health COVID-19 Testing Site |1 South Missouri Avenue |Clearwater |N/A
Florida |CVS Health COVID-19 Testing Site |30387 US Highway 19 North |Clearwater |N/A
Florida |CVS Health COVID-19 Testing Site |4000 East Bay Drive |Clearwater |N/A
Florida |Florida Community Health Centers |315 South W.C. Owen Avenue |Clewiston |(863) 983-7813
Florida |CVS Health COVID-19 Testing Site |4292 North Atlantic Avenue |Cocoa Beach |N/A
Florida |CareSpot |"4450 N. State Road, Suite 1" |Coconut Creek |954-914-7321
Florida |CVS Health COVID-19 Testing Site |4701 South Flamingo Road |Cooper City |N/A
Florida |CVS Health COVID-19 Testing Site |5695 SW 8th St |Coral Gables |N/A
Florida |CareSpot |1205 N. University Drive |Coral Springs |954-914-7242
Florida |Doris Ison Health Center |10300 SW 216th St. |Cutler Bay |305-252-4820
Florida |Posner Park |1300 Posner Blvd |Davenport |N/A
Florida |CVS Health COVID-19 Testing Site |4610 South University Drive |Davie |N/A
Florida |CVS Health COVID-19 Testing Site |101 South Ridgewood Avenue |Daytona Beach |N/A
Florida |CVS Health COVID-19 Testing Site |3422 So. Atlantic Ave |Daytona Beach Shores |N/A
Florida |Daytona Racing and Card Club |960 S. Williamson Blvd. |"Daytona Beach," |N/A
Florida |CVS Health COVID-19 Testing Site |1806 West Hillsboro Boulevard |Deerfield Beach |N/A
Florida |CVS Health COVID-19 Testing Site |2 South Federal Highway |Deerfield Beach |N/A
Florida |CVS Health COVID-19 Testing Site |2497 South Woodland Boulevard |Deland |N/A
Florida |CVS Health COVID-19 Testing Site |901 North Woodland Boulevard |Deland |N/A
Florida |South County Civic Center |16700 Jog Road |Delray Beach |561-804-0250
Florida |CVS Health COVID-19 Testing Site |1690 South Federal Highway |Delray Beach |N/A
Florida |CVS Health COVID-19 Testing Site |2187 Howland Boulevard |Deltona |N/A
Florida |Deltona Plaza |1200 Deltona Blvd |Deltona |N/A
Florida |CVS Health COVID-19 Testing Site |10701 NW 41st Street |Doral |N/A
Florida |Walmart |8651 NW 13th Ter |Doral |N/A
Florida |CVS Health COVID-19 Testing Site |2175 Main Street |Dunedin |N/A
Florida |CVS Health COVID-19 Testing Site |11582 North Williams Street #5 |Dunnellon |N/A
Florida |CVS Health COVID-19 Testing Site |238 US Highway 17 |E. Palatka |N/A
Florida |CVS Health COVID-19 Testing Site |1760 South McCall Road |Englewood |N/A
Florida |Holiday Park |1150 G. Harold Martin Drive |Fort Lauderdale |(800) 209-7919
Florida |MD Now Urgent Care |195 N Federal Hwy |Fort Lauderdale |954-245-0114
Florida |Urban League of Broward County |560 NW 27th Ave. |Fort Lauderdale |954-412-7300
Florida |CVS Health COVID-19 Testing Site |2150 East Commercial Boulevard |Fort Lauderdale |N/A
Florida |CVS Health COVID-19 Testing Site |1700 South Federal Highway |Fort Lauderdale |N/A
Florida |CVS Health COVID-19 Testing Site |3501 West Davie Boulevard |Fort Lauderdale |N/A
Florida |CVS Health COVID-19 Testing Site |2403 Cleveland Avenue |Fort Myers |N/A
Florida |CVS Health COVID-19 Testing Site |4710 Palm Beach Boulevard |Fort Myers |N/A
Florida |CVS Health COVID-19 Testing Site |5990 South Pointe Boulevard |Fort Myers |N/A
Florida |CVS Health COVID-19 Testing Site |13400 South Cleveland Avenue |Fort Myers |N/A
Florida |Lee Convenient Care |4771 S Cleveland Avenue |Fort Myers |N/A
Florida |Walmart |4770 Colonial Blvd |Fort Myers |N/A
Florida |Florida Community Health Centers |"2402 Frist Blvd., Suite 202" |Fort Pierce |(772) 461-1402
Florida |CVS Health COVID-19 Testing Site |2220 South US Highway 1 |Fort Pierce |N/A
Florida |CareNow Urgent Care |5550 S. US Hwy 1 |Ft. Pierce |(772) 460-9227
Florida |CVS Health COVID-19 Testing Site |1891 North US Highway 1 |Ft. Pierce |N/A
Florida |CareSpot |3925 NW 43rd Street |Gainesville |352-614-0510
Florida |CareSpot |"3581 SW Archer Road, Suite 40" |Gainesville |352-614-0608
Florida |CVS Health COVID-19 Testing Site |4145 NW 53rd Street |Gainesville |N/A
Florida |CVS Health COVID-19 Testing Site |3404 S.W. Archer Road |Gainesville |N/A
Florida |CVS Health COVID-19 Testing Site |901 North Main Street |Gainesville |N/A
Florida |MD Now Urgent Care |415 E Hallandale Beach Blvd |Hallandale Beach |954-737-4483
Florida |Larkin Community Hospital Palm Springs Campus |1475 W. 49th St. |Hialeah |305-830-0790
Florida |Care Spot Urgent Care |18706 NW 67th Ave |Hialeah |786-563-0280
Florida |CVS Health COVID-19 Testing Site |1230 West 29th Street |Hialeah |N/A
Florida |CVS Health COVID-19 Testing Site |3395 West 68th Street |Hialeah |N/A
Florida |CVS Health COVID-19 Testing Site |802 East 25th Street |Hialeah |N/A
Florida |CVS Health COVID-19 Testing Site |855 East 8th Avenue |Hialeah |N/A
Florida |CVS Health COVID-19 Testing Site |1525 West 49th Street |Hialeah |N/A
Florida |Walmart |9300 NW 77th Ave |Hialeah |N/A
Florida |CVS Health COVID-19 Testing Site |8800 S.E. Bridge Road |Hobe Sound |N/A
Florida |CVS Health COVID-19 Testing Site |1600 S. Federal Highway |Hollywood |N/A
Florida |CVS Health COVID-19 Testing Site |3440 Hollywood Blvd. |Hollywood |N/A
Florida |CVS Health COVID-19 Testing Site |611 Manatee Avenue West |Holmes Beach |N/A
Florida |CVS Health COVID-19 Testing Site |2780 NE 8th Street |Homestead |N/A
Florida |CVS Health COVID-19 Testing Site |3959 South Suncoast Boulevard |Homosassa |N/A
Florida |CVS Health COVID-19 Testing Site |13839 Little Road |Hudson |N/A
Florida |CVS Health COVID-19 Testing Site |12015 Little Road |Hudson |N/A
Florida |CVS Health COVID-19 Testing Site |100 North Miramar Avenue |Indialantic |N/A
Florida |Florida Community Health Centers |15858 S.W. Warfield Blvd. |Indiantown |(772) 597-3596
Florida |CVS Health COVID-19 Testing Site |1141 SR 20 |Interlachen |N/A
Florida |Crucial Care |11048 Baymeadows Rd |Jacksonville |(904) 729-4220
Florida |CareNow Urgent Care |4888 Town Center Pkwy |Jacksonville |(904) 800-1735
Florida |CareSpot |"13460 Beach Boulevard, Unit 1" |Jacksonville |904-900-2336
Florida |CareSpot |1021 Cesery Blvd |Jacksonville |904-900-2340
Florida |CareSpot |2401 Monument Road |Jacksonville |904-900-2510
Florida |CVS Health COVID-19 Testing Site |11900 McCormick Road |Jacksonville |N/A
Florida |CVS Health COVID-19 Testing Site |11060 Old St. Augustine Rd. |Jacksonville |N/A
Florida |CVS Health COVID-19 Testing Site |120 S. Johns Commons Road |Jacksonville |N/A
Florida |CVS Health COVID-19 Testing Site |3634 Rogero Road |Jacksonville |N/A
Florida |CVS Health COVID-19 Testing Site |4280 Southside Boulevard |Jacksonville |N/A
Florida |CVS Health COVID-19 Testing Site |430 State Highway 13 |Jacksonville |N/A
Florida |CVS Health COVID-19 Testing Site |4475 San Juan Ave |Jacksonville |N/A
Florida |CVS Health COVID-19 Testing Site |50 Duval Station Road |Jacksonville |N/A
Florida |CVS Health COVID-19 Testing Site |5407 Blanding Boulevard |Jacksonville |N/A
Florida |CVS Health COVID-19 Testing Site |6005 Saint Augustine Road |Jacksonville |N/A
Florida |CVS Health COVID-19 Testing Site |9100 Atlantic Boulevard |Jacksonville |N/A
Florida |Walmart |12100 Lem Turner Rd |Jacksonville |N/A
Florida |Walmart |13490 Beach Blvd |Jacksonville |N/A
Florida |CVS Health COVID-19 Testing Site |5972 University Boulevard West |Jacksonville |N/A
Florida |CareNow Urgent Care |1801 NE Jensen Beach Blvd |Jensen Beach |(772) 334-1700
Florida |CVS Health COVID-19 Testing Site |1255 NE Jensen Beach Boulevard |Jensen Beach |N/A
Florida |CVS Health COVID-19 Testing Site |575 West Indiantown Road |Jupiter |N/A
Florida |Village of Key Biscayne |100 Harbor Drive |Key Biscayne |305-365-8910
Florida |CVS Health COVID-19 Testing Site |99434 Overseas Highway |Key Largo |N/A
Florida |Marathon Community Park |200 City Marina |Key West |305-252-4820
Florida |Osceola Heritage Park |1875 Silver Spur Ln |Kissimee |N/A
Florida |CareSpot |1414 E Osceola Parkway |Kissimmee |407-961-7483
Florida |CVS Health COVID-19 Testing Site |1300 East Vine Street |Kissimmee |N/A
Florida |CVS Health COVID-19 Testing Site |2454 E. Irlo Bronson Memorial Hwy |Kissimmee |N/A
Florida |Walmart |3250 Vineland Rd |Kissimmee |N/A
Florida |Walgreens |2235 Parr Dr |Lady Lake |N/A
Florida |CVS Health COVID-19 Testing Site |2233 US Highway 90 West |Lake City |N/A
Florida |CareNow Urgent Care |901 Currency Cir |Lake Mary |(407) 410-8951
Florida |CareSpot |"136 Parliament Loop, Suite 1020" |Lake Mary |407-792-5270
Florida |CVS Health COVID-19 Testing Site |5 U.S. 27 South |Lake Placid |N/A
Florida |CVS Health COVID-19 Testing Site |101 North Dixie Highway |Lake Worth |N/A
Florida |CVS Health COVID-19 Testing Site |7030 Jog Road |Lake Worth |N/A
Florida |CVS Health COVID-19 Testing Site |7534 Lake Worth Road |Lake Worth |N/A
Florida |CVS Health COVID-19 Testing Site |8954 Lantana Road |Lake Worth |N/A
Florida |Lakeland Regional Health Respiratory Care Center |130 Pablo St |Lakeland |863-687-1100
Florida |CVS Health COVID-19 Testing Site |5010 South Florida Avenue |Lakeland |N/A
Florida |CVS Health COVID-19 Testing Site |1635 South Highway 98 |Lakeland |N/A
Florida |CVS Health COVID-19 Testing Site |6105 U.S. Highway 98 North |Lakeland |N/A
Florida |CVS Health COVID-19 Testing Site |101 North Wabash Avenue |Lakeland |N/A
Florida |CVS Health COVID-19 Testing Site |4511 Lantana Road |Lantana |N/A
Florida |CVS Health COVID-19 Testing Site |2390 East Bay Drive |Largo |N/A
Florida |CVS Health COVID-19 Testing Site |51 North Missouri Avenue |Largo |N/A
Florida |CVS Health COVID-19 Testing Site |8905 Bryan Dairy Road |Largo |N/A
Florida |Central Broward Park & Broward County Stadium |3700 N.W. 11th Place |Lauderhill |954.320.5730
Florida |CVS Health COVID-19 Testing Site |5555 North University Drive |Lauderhill |N/A
Florida |CVS Health COVID-19 Testing Site |1235 North 14th Street |Leesburg |N/A
Florida |Lake Sumter College |9501 US-441 |Leesburg |N/A
Florida |Walmart |2523 Lee Blvd |Lehigh Acres |N/A
Florida |CVS Health COVID-19 Testing Site |3580 North Federal Highway |Lighthouse Point |N/A
Florida |Cleveland Clinic |"10000 SW Innovation Way, Port St." |Lucie |772-226-4846
Florida |CVS Health COVID-19 Testing Site |2322 Land O Lakes Boulevard |Lutz |N/A
Florida |CVS Health COVID-19 Testing Site |121 West MacClenney Avenue |MacClenny |N/A
Florida |CVS Health COVID-19 Testing Site |15129 Madeira Way |Madeira Beach |N/A
Florida |CHI Marathon Health Center |2805 Overseas Highway |Marathon |305-252-4820
Florida |MD Now Urgent Care |980 US 441 |Margate |954-737-5796
Florida |CVS Health COVID-19 Testing Site |1200 North State Road 7 |Margate |N/A
Florida |Melbourne Clinic |601 E. University Blvd |Melbourne |321-454-7141
Florida |OMNI Healthcare |1344 S. Apollo Blvd |Melbourne |321-802-551
Florida |CVS Health COVID-19 Testing Site |1800 North Wickham Road |Melbourne |N/A
Florida |Omni Healthcare |255 North Sykes Creek Parkway |Merritt Island |321-802-5515
Florida |CVS Health COVID-19 Testing Site |11 East Merritt Island Causeway |Merritt Island |N/A
Florida |Marlins Park |501 Marlins Way |Miami |305-499-8767
Florida |Charles Hadley Park |1350 NW 50th St. |Miami |305-960-5050
Florida |MD Now Urgent Care |150 NW 42nd Ave |Miami |306-363-6044
Florida |CVS Health COVID-19 Testing Site |11398 Quail Roost Drive |Miami |N/A
Florida |CVS Health COVID-19 Testing Site |14705 SW 42nd Street |Miami |N/A
Florida |CVS Health COVID-19 Testing Site |15700 S.W. 88th Street |Miami |N/A
Florida |CVS Health COVID-19 Testing Site |19800 NW 2nd Avenue |Miami |N/A
Florida |CVS Health COVID-19 Testing Site |2599 SW 147th Avenue |Miami |N/A
Florida |CVS Health COVID-19 Testing Site |690 N. W. 57th Avenue |Miami |N/A
Florida |CVS Health COVID-19 Testing Site |7199 SW 117th Avenue |Miami |N/A
Florida |CVS Health COVID-19 Testing Site |1177 SW 8th Street |Miami |N/A
Florida |CVS Health COVID-19 Testing Site |10660 SW 40th Street |Miami |N/A
Florida |CVS Health COVID-19 Testing Site |8701 SW 137th Ave |Miami |N/A
Florida |CVS Health COVID-19 Testing Site |9720 Southwest 8th Street |Miami |N/A
Florida |CVS Health COVID-19 Testing Site |3695 Flagler Street |Miami |N/A
Florida |CVS Health COVID-19 Testing Site |20345 Old Cutler Road |Miami |N/A
Florida |CVS Health COVID-19 Testing Site |12701 SW 42nd Street |Miami |N/A
Florida |CVS Health COVID-19 Testing Site |591 NE 79th Street |Miami |N/A
Florida |CVS Health COVID-19 Testing Site |8740 Bird Road |MIAMI |N/A
Florida |Walmart |3200 NW 79th St |Miami |N/A
Florida |CVS Health COVID-19 Testing Site |14705 SW 42nd Street |Miami |N/A
Florida |MedRite |542 West 41st Street |Miami Beach |305-397-8417
Florida |Miami Beach Community Health Center |11645 Biscayne Boulevard |Miami Beach |305-538-8835
Florida |Miami Beach Community Health Center |1221 – 71st Street |Miami Beach |305-538-8835
Florida |City of Miami Beach - MedRite Urgent Care |4621 Collins Avenue |Miami Beach |305-735-3909
Florida |Hard Rock Stadium |347 Don Shula Dr. |Miami Gardens |305-499-8767
Texas |Midland Community Healthcare Services |801 East Florida Avenue |Midland |(432)685-0450
Florida |CVS Health COVID-19 Testing Site |814 North Highway 27 |Minneola |N/A
Florida |CVS Health COVID-19 Testing Site |12401 Miramar Parkway |Miramar |N/A
Florida |CVS Health COVID-19 Testing Site |17021 U.S. Highway 441 |Mount Dora |N/A
Florida |CVS Health COVID-19 Testing Site |13400 Immokalee Road |Naples |N/A
